Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,ALT_OBJ,AIRMASS,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K ,Source-Sky_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Peak_T1,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Peak_C2,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Peak_C3,Source-Sky_C4,Source_Error_C4,Source_AMag_C4,Source_AMag_Err_C4,Peak_C4,Source-Sky_C5,Source_Error_C5,Source_AMag_C5,Source_AMag_Err_C5,Peak_C5,Source-Sky_C6,Source_Error_C6,Source_AMag_C6,Source_AMag_Err_C6,Peak_C6,Source-Sky_C7,Source_Error_C7,Source_AMag_C7,Source_AMag_Err_C7,Peak_C7,Source-Sky_T8,Source_Error_T8,Source_AMag_T8,Source_AMag_Err_T8,Peak_T8,Source-Sky_T9,Source_Error_T9,Source_AMag_T9,Source_AMag_Err_T9,Peak_T9,Source-Sky_T10,Source_Error_T10,Source_AMag_T10,Source_AMag_Err_T10,Peak_T10,Source-Sky_T11,Source_Error_T11,Source_AMag_T11,Source_AMag_Err_T11,Peak_T11
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194643-V-BIN1-E-060-001.fit,11,64350.7265625,60082.90784143517,2460082.907841435,NaN,NaN,0,NaN,1.44437918273,-35,60,NaN,NaN,936939.9042177051,888.6210058296459,10.619728644752641,0.0011840205435234,63565.3515625,684146.4652456321,763.9153450177621,11.04,0.0012116525855844,46619.4921875,405144.92398958886,596.4280170516965,11.83,0.0015971749124167,27701.80859375,513496.4431787359,666.2442870763992,11.06,0.0014077929606564,36539.91796875,501151.3893833341,659.3660001932536,11.08,0.0014275666244605,35111.41015625,391750.684117478,586.826365484398,11.85,0.0016251711331989,27000.044921875,483258.69239976705,648.271765021769,11.31,0.0014554946744376,33278.16015625,1004325.1015980857,919.6920090227109,10.544322191138974,0.001153328652836,64350.7265625,137471.44122513037,371.7951268737304,12.70347677016842,0.0029901265552082,10356.1923828125,405898.45367114706,596.9804489678652,11.527964492523768,0.0016995589709325,29306.990234375,107461.49361845836,334.921455963985,12.970875803108976,0.0034287726990575,7305.59814453125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194757-V-BIN1-E-060-002.fit,12,64449.66015625,60082.908707060385,2460082.9087070604,NaN,NaN,0,NaN,1.43978536687,-35,60,NaN,NaN,894922.6594941211,869.0431473982819,10.669782676606486,0.0012053464774029,62928.11328125,673839.4757471232,758.8294889557415,11.04,0.001221989991659,64449.66015625,404990.2018080319,596.0108064741856,11.83,0.0015966677937414,45691.375,514179.2263664001,666.4804739249545,11.06,0.0014064228341565,48476.30078125,506519.9471295787,661.8000848299785,11.08,0.0014176565325013,59141.38671875,395933.13481150643,589.9151373339927,11.85,0.0016164738264792,45342.89453125,484140.93230216636,648.7090744527077,11.31,0.0014538235305159,47623.921875,948386.687487893,894.5093586974094,10.606782815179221,0.0011789930166355,64350.7265625,138640.44128712223,371.5811632248902,12.694521607936913,0.0029642410440964,16254.3388671875,405864.0264507487,596.4858557971103,11.528295039175445,0.0016983816401304,37643.56640625,108545.73885641804,336.8190267626991,12.960214490131628,0.0034141845130871,11871.048828125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194912-V-BIN1-E-060-003.fit,13,64794.9765625,60082.909565972164,2460082.909565972,NaN,NaN,0,NaN,1.43527369296,-35,60,NaN,NaN,910976.906248332,876.7227727899067,10.652309003355237,0.0011968138027999,63676.12890625,687988.7962853285,765.7753243490473,11.04,0.0012078214422357,61386.8828125,405304.25702876435,596.1969989085899,11.83,0.0015959295467849,34398.11328125,514396.97115467594,666.770946195623,11.06,0.0014064401846031,41250.15625,503893.9432696728,660.2497751548398,11.08,0.0014217036289388,42800.734375,390036.4425119782,586.0391717723561,11.85,0.0016301205199973,35343.859375,483011.5455704735,647.5860573135101,11.31,0.0014546996198147,38584.2421875,976813.2116758565,907.30272118307,10.576548609811653,0.0011651900268507,64794.9765625,136790.20481672988,369.8301387538478,12.710939922585595,0.0029890155922211,11521.5419921875,404504.42162194056,595.3828030539423,11.53376923906788,0.0017004169393763,30798.88671875,108158.81032393921,335.2663236832288,12.965922667970698,0.0034106057099161,9492.2861328125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195026-V-BIN1-E-060-004.fit,14,66175.828125,60082.91043148143,2460082.9104314814,NaN,NaN,0,NaN,1.43077117122,-35,60,NaN,NaN,883813.535967297,863.8028482771941,10.68682078796828,0.0012108281077461,63676.12890625,676381.5372730403,760.3729947432635,11.04,0.0012198748058032,66175.828125,405913.63581446663,596.7983157749736,11.83,0.0015951414511188,43964.15234375,519131.5493313057,669.2767477516671,11.06,0.001398855428426,53858.7421875,509690.6325109163,664.3459735934385,11.08,0.0014142594610044,53876.95703125,394363.1708798382,588.8524340960539,11.85,0.0016199828161706,45732.26171875,483676.8418586778,647.7243038765298,11.31,0.001453009936871,44760.16796875,952127.4390079888,896.1280875335622,10.605984706884456,0.0011766173090421,64794.9765625,137911.65972290203,370.2768082291718,12.703719946914214,0.002969042903304,16537.232421875,406820.1919233425,597.2828899211191,11.529216158769504,0.0016965220302124,40827.9296875,107990.06067489568,336.6815515912059,12.96926294669651,0.003429687372605,11753.953125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195140-V-BIN1-E-060-005.fit,15,64794.9765625,60082.91128253471,2460082.9112825347,NaN,NaN,0,NaN,1.42638565038,-35,60,NaN,NaN,904611.5651274453,874.0068153409019,10.659849819960785,0.0012005264636107,63373.2265625,687542.6056557926,766.2034157507917,11.04,0.001209280109442,58385.91015625,404958.50105296273,596.4985051884056,11.83,0.0015980983403849,34739.4609375,516576.1210530622,668.0757481864745,11.06,0.0014032498989802,46123.87109375,502716.9339966216,659.8257605691798,11.08,0.0014241155157615,44133.2578125,389128.4691719232,585.9462772088258,11.85,0.0016336625006077,36354.75390625,483510.684768121,647.7220543771322,11.31,0.0014535038810263,39764.3125,963560.5830481161,901.2864996215822,10.591307594953149,0.0011714702201487,64794.9765625,135940.49436902988,369.80574298610736,12.717633046890281,0.0030068291519135,13181.158203125,405028.7965219137,596.2685637202945,11.532290405437841,0.0017008045932453,35400.70703125,108092.94060462104,335.32718339867705,12.96651182999419,0.0034132707228226,9530.30078125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195254-V-BIN1-E-060-001.fit,16,66942.96875,60082.912146411836,2460082.912146412,NaN,NaN,0,NaN,1.42197887555,-35,60,NaN,NaN,899573.9257827379,871.346614811469,10.671233416436312,0.0012018908750439,63803.6640625,691703.9448864976,767.8651038698365,11.04,0.0012046144085764,66942.96875,408317.0733828857,598.1387392022223,11.83,0.001589318024022,41317.30859375,519001.8186419246,669.1717855739663,11.06,0.0013989855688485,50501.8359375,505736.2314420768,661.1443797082375,11.08,0.0014184461153502,49442.6796875,390694.35879312747,586.1316378579783,11.85,0.0016276340851319,34130.7890625,483640.3187377802,647.6499170100745,11.31,0.0014529528209985,46455.09375,963386.3025898495,901.2669182061153,10.596824395579794,0.0011706245112196,64794.9765625,137480.69642419036,370.3366109919554,12.710721255058772,0.0029781802153007,14033.453125,407279.65615550143,597.412800820227,11.53159377021218,0.0016947030577173,38861.5078125,108157.23622086839,336.0639028793803,12.971186610999627,0.0034182312241727,9878.8984375
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195409-V-BIN1-E-060-002.fit,17,63994.69140625,60082.91300752293,2460082.913007523,NaN,NaN,0,NaN,1.4176301919,-35,60,NaN,NaN,900984.279869793,872.2342229575636,10.664161374673121,0.0012022768025698,63492.2578125,684019.8184726161,764.3626059093825,11.04,0.0012125859382835,63762.1015625,406391.73104561644,597.0775696248614,11.83,0.0015940112142406,41226.22265625,519152.2218375246,670.0213669496044,11.06,0.00140035502581,46961.30078125,502205.2853277541,659.4752316767642,11.08,0.0014248086307187,49544.5234375,389775.07827172446,585.6998748627365,11.85,0.0016302690704627,35039.90234375,482749.6823834477,646.7520686463923,11.31,0.0014536149948433,44395.9140625,973622.4617003539,905.8759633258244,10.579977947119309,0.0011667461547188,63994.69140625,136717.46534596503,369.60405962498766,12.711394413038086,0.0029888162260497,14295.7373046875,407185.06678416487,597.5847288724449,11.526474803187018,0.0016961097867582,37316.8828125,108740.01689337632,336.02882821530983,12.959980918314677,0.0034004419253291,9990.2431640625
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195522-V-BIN1-E-060-003.fit,18,63994.69140625,60082.91385069443,2460082.9138506944,NaN,NaN,0,NaN,1.41341075999,-35,60,NaN,NaN,881654.080654533,863.0652886784685,10.682451556406845,0.001213223257649,63492.2578125,671418.8549335633,757.4133008197514,11.04,0.0012241055591745,63762.1015625,405025.3766464222,595.9280224260284,11.83,0.0015963076414018,44389.07421875,519153.25126822817,669.6235974341728,11.06,0.0013995214436089,50982.77734375,501403.874078386,658.9419035921122,11.08,0.0014259311075958,55995.3984375,389091.97183511074,585.2394609753512,11.85,0.001631846263599,39232.81640625,483785.0198568569,647.5713626669527,11.31,0.001452342470137,45627.8046875,954386.5007273373,897.4987164641951,10.596386391646988,0.0011768160219251,63994.69140625,135803.40231437207,369.12101784116425,12.713420484864454,0.0030046340904158,16197.900390625,405352.8486795756,596.0707960435057,11.526114037680802,0.0016995409996443,38372.3125,108810.46257939952,337.2010841378835,12.95402046978393,0.0034100353602365,10795.9423828125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195637-V-BIN1-E-060-004.fit,19,64308.1875,60082.91471655108,2460082.914716551,NaN,NaN,0,NaN,1.40912307308,-35,60,NaN,NaN,882078.068650015,863.2106665256775,10.691391004736111,0.0012116204713465,62831.59765625,687562.3614936726,765.5486465599782,11.04,0.0012082125805866,64308.1875,407130.0328705076,597.3025057758139,11.83,0.0015917216856243,38989.83984375,522289.5629086678,671.5960726017288,11.06,0.0013952179244068,44121.44921875,502625.2338307987,659.6322788556198,11.08,0.0014239577665648,48122.08203125,390326.90104649885,585.9175764387217,11.85,0.0016285706653173,38336.53125,485937.82401006384,649.5699756960012,11.31,0.0014503721486362,43845.80078125,974113.5889580374,905.9793299070707,10.583634560736225,0.0011657424108139,63994.69140625,139135.7615461349,372.20687504873854,12.696561641729069,0.0029585310412072,13077.60546875,407449.66890645924,598.0227417055326,11.529973642226562,0.0016957783050642,34771.80078125,109606.35197257594,337.4816354172748,12.955569256882754,0.0033883045593374,10548.7626953125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195750-V-BIN1-E-060-005.fit,20,63994.69140625,60082.91555925924,2460082.9155592592,NaN,NaN,0,NaN,1.40499064647,-35,60,NaN,NaN,889805.2064471854,867.1601365825281,10.673063244859273,0.0012090872304195,62831.59765625,682266.6019718187,763.1557467104923,11.04,0.0012137817617214,58743.09765625,403363.59826135804,595.015866417198,11.83,0.0016004276251446,35096.8984375,518682.3458304722,669.3644072142471,11.06,0.0014002493802059,41117.77734375,499157.0647500589,657.2896623353744,11.08,0.0014287561640004,43720.6328125,386685.9867503269,583.6043723910814,11.85,0.0016374079716486,34082.92578125,481373.97180413315,647.4006329992831,11.31,0.0014592273384734,37949.51953125,982053.1361238528,910.0491853944832,10.565963134111913,0.0011639501567969,63994.69140625,136220.99222157584,369.2114184862446,12.710690502989642,0.0029964934855899,11586.3935546875,403807.43118656724,595.457765782904,11.530864834003834,0.001703728560097,30106.623046875,107247.31829731129,335.65285682727483,12.970334497476124,0.0034428102692198,9130.955078125
