x, y
-4899.563318777293, 0.019298245614035092
-15628.82096069869, 0.08035087719298248
-15275.109170305677, 0.07052631578947369
-15864.6288209607, 0.045964912280701764
-15393.013100436681, 0.04947368421052631
-15196.50655021834, 0.041754385964912294
-15864.6288209607, 0.035438596491228075
-15353.711790393014, -0.0017543859649122723
-15314.410480349345, -0.008070175438596491
-15393.013100436681, -0.03614035087719299
-15078.602620087337, 0.0031578947368421095
13.100436681223073, 0.00736842105263158
720.524017467249, 0.0017543859649122862
877.7292576419222, -0.003859649122807021
1270.7423580786035, 0.009473684210526315
1703.0567685589522, -0.002456140350877184
563.3187772925776, 0.004561403508771933
720.524017467249, -0.010877192982456138
1742.3580786026214, -0.006666666666666668
